高中英语单词表3500词乱序版（带音标）
a  art.一（个、件……）
kind-hearted  a.好心的
lap  n.膝部.一圈
male  a.男（性）的；雄的
nearly  ad.将近，几乎
ad  .离开；（电自来水）停了,中断
pair  n.一双，一对
quit  v.离任，离校，戒掉
rainfall  n.一场雨；降雨量
salesman  n.男售货员
shyv   a.害羞的
split  v.撕开;切开
swell   v.肿胀
tape   n.磁带；录音带
underground  a.地下的n.地铁
VersatileCompactDisk n.影碟光盘
wander  vi.漫游,游荡,漫步,流浪
yourself  pron.你自己
conversation   n.谈话，交谈
progress  n.进步,上进vi.进展,进行
absolute  a.完全，全部，绝对的
bakery   n.面包店
agarbagecan   （美）垃圾桶
date   n.日期；约会n.枣
easy   a.容易的，不费力的
false   a.不正确的；假的
gay   a.（男）同性恋的；快活的，愉快的
handsome  a.英俊的
immediate  a.立即的，马上
jog  v.慢跑
kindness  n.仁慈；善良
large  a.大的；巨大的
man  n.成年男人;人类
neat  a.整洁的；灵巧的
offence  n.违法行为，犯罪
palace  n.宫，宫殿
quite  ad.完全，十分
rainy  a.下雨的；多雨的
saleswoman  n.女售货员
sick   a.有病,患病的,（想）呕吐
spoken   a.口语的
swift   a.快的，迅速的
taperecorder   n.磁带录音机
underline  v.在…下划线
veal  n.（食用）小牛肉
want  vt.想,想要,需要,必要
yourselves  pron.你们自己
automatic   a.自动的，机械的
ashamed   a.惭愧；害臊
absorb  v.吸收，使全神贯注
balance   n.平衡
acanopener   开罐器
daughter   n.女儿
easy-going   a.随和的
familiar  a.熟悉的
general   a.大体，笼统的，总的
handtruck  n.手推运货车
immediately  ad.立即
join  v.参加,加入;连接;会合
king  n.国王
laser  n.激光
manage  v.管理；设法对付
necessary  a.必需的，必要的
offer  n.&vt.提供；建议
pale  a.苍白的，灰白的
quiz  n.测验，小型考试
raise  vt.使升高；饲养
salt  n.盐
sickness   n.疾病
spokenman  n.发言人
swim   n.游泳，游
target   n./v.目标，把…作为攻击目标
understand  v.懂得;明白;理解
vegetable  n.蔬菜
war  n.战争
youth  n.青春；青年
convey   v.表达，传递（思想，感情等）
by  prep.靠近，在…旁；在…时间；不迟于；被；用；由；乘（车）
abstract  a./n.抽象的（作品）
balcony   n.阳台；楼座
Canada   *n.加拿大
dawn   n.黎明，拂晓
eat  v.吃
family   n.家庭；家族；子女
generation   n.代，一代
handwriting  n.书法
immigration  n.移民
joke  n.笑话
kingdom  n.王国
last  a.最近刚过去;最后的ad.最近刚过去;最后地n.最后v.持续
manager  n.经理
neck  n.颈，脖子
office   n.办公室
pan  n.平底锅
random  a.随意,未经事先考虑的
salty  a.盐的，咸的，含盐的
side  n.边，旁边，面，侧面
sponsor  n.赞助者，赞助商
swim   vi.游泳,游
task   n.任务,工作
understanding  n.领会;理解
vehicle  n.交通工具，车辆
ward  n.保卫,看护,病房,收容所
yummy  a.很好吃的
autonomous   a.自治的，自主的
confidential   a.机密的，保密的
absurd  a.荒谬的，怪诞不经的
ball   n.球n.舞会
Canadian   a.加拿大的；加拿大人的n.加拿大人
day   n.（一）天，（一）日；白天
ecology   n.生态，生态学
familyname姓氏
generous   a.慷慨大方的
handy  a.便利的，顺手的hangv.处（人）绞刑；上吊
import  v.&n.进口，输入
journalist  n.记者，新闻工作者
kiss  n.&vt.吻，亲吻
late  a.晚的,迟的ad.晚地,迟地
mankind  n.人类;（总称）人
necklace  n.项链
officer  n.军官;公务员,官员；警察，警官
pancake  n.薄煎饼
range  n./v.变化，变动，排序
salute  v.&n.敬礼
sideroadn.人行道
spoon   n.匙,调羹
swimming   n.游泳
taste   n.品尝,尝味；味道vt.品尝,尝味
undertake  v.承担，从事，负责
version  n.变体，变种，改写本
warehouse  n.仓库，货栈
convince   v.使确信，使信服
prohibit  v.禁止
abundant  a.大量,丰盛的,充裕的
ballet   n.芭蕾舞
canal   n.运河；水道
daylight   n.日光，白昼；黎明
edge   n.边缘
famous  a.著名的
gentle   a.温柔的，轻轻的
hang  v.悬挂，吊着；把……吊起
importance  n.重要性
journey  n.旅行，路程
kitchen   n.厨房
lately  ad.最近，不久前
man-made  a.人造的，人工的
necktie  n.领带，领花
official  n.（公司、团体或政府）官员,高级职员a.官方,政府的
panda  n.熊猫
rank  n.职衔，军衔
same  n.同样的事a同样的,同一
sideway  n.岔路，旁路
spoonful   n.一匙（的量）
swimmingpool   n.游泳池
tasteless   a.无滋味的
underwear  n.内衣
vertical  a.垂直的，纵向的
warm  a.暖和的,温暖的;热情的
August   n.8月
Asia   *n.亚洲
abuse  v.（酗酒）滥用,虐待,恶语
balloon   n.气球
cancel   vt.取消
dead   a.死的；无生命的
edition  n.（发行物的）版，版（本）
fan  n.（电影、运动等的）迷；热心的爱好者（支持者）n.风扇
gentleman   n.绅士，先生；有身份、有教养的人
happen  vi.（偶然）发生
important  a.重要的
joy  n.欢乐，高兴，乐趣
kite  n.风筝
later  a.晚些的，迟些的
manner  n.方式，态度，举止
kangaroo  n.大袋鼠
need  n.需要,需求aux.&v.需要,必须
offshore  a.近海的
panic  a./v.惊慌,恐慌,惶恐不安
rapid  a.快的，迅速的
sand  n.沙，沙子
sideways   ad.斜向一边的
sport  vn.体育运动，锻炼；运动会
swing   vt.挥舞，摆动n.秋千
tasty   a.味道好的
undivided  a.没分开的；专一的；专心的
very   vad.很，非常
warm-hearted  a.热心的
cook   n.炊事员,厨师v.烹调,做饭
bye  int.再见
academic  a./n.学术的，教学的
ballpoint 圆珠笔
cance   rn.癌
deadline   n.最后期限，截止日期
editor   n.编辑
fancy  a.花式；装饰的；奇特的
geography   n.地理学
happily  ad.幸福地，快乐地
impossible  a.不可能的
judge  n.裁判；审判员；法官vt.判断，断定
knee  n.膝盖
latest  a.最近，最新的；最晚的
tablemanners  餐桌礼节，用餐的规矩
needle  n.针
often  ad.经常，常常
paper  n.纸；报纸
rare  a.罕见的，稀有的
sandwich  n.三明治（夹心面包片）
sigh  vi.叹息；叹气
spot  n.斑点，污点；场所，地点v.沾上污渍，弄脏
Swiss   a.瑞士人的n.瑞士人
tax   n.税，税款
undo  v.解开，松开
vest  n.背心，内衣
warmth  n.暖和，温暖
aunt   n.伯母；舅母；婶；姑；姨
conference   n.会议；讨论
academy  n.专科学院,（美）私立学校
bamboo   n.竹
candidate   n.候选人，申请人
deaf   a.聋的
educate   vt.教育，培养
fantastica.极好的，美妙的，很棒的
geometry   n.几何学
happiness  n.幸福，愉快
impress  vt.留下极深的印象
judgement  n.裁判
knife   n.小刀;匕首;刀片
latter  n.（两者之中的）后者
many  pron.许多人（或物）a.许多的
negotiate  v.谈判，协商
oh   int.哦！啊！
paperwork  n.日常文书工作
rat  n.老鼠
satellite  n.卫星
sight  n.情景，风景；视力
spray   n./v.水雾,喷雾喷洒
Switzerland   *n.瑞士
tax-free   免税的
unemployment  n.失业,失业状态
via  prep.经过（某地），通过
war  nvt.警告，预先通知
cooker   n.炊具
project  n.工程
accelerate  v.（使）加速，加快
ban   n.禁令v.禁止；取缔
candle   n.蜡烛
deal   n.量，数额；交易
educator   n.教育家
fantasy   n幻想，梦想
German   a.德国的，德国人的，德语的n.德国人，德语
happy  a.幸福；快乐的，高兴的
impression  n.印象，感觉
juice  n.汁、液
knock   n.&v.敲；打；击
laugh  n.&v.笑，大笑；嘲笑
map  n.地图
neighbour  n.邻居，邻人
oil  n.油
paragraph  n.（文章的）段落
rate  n./v.率，评估，评价
satisfaction  n.满意
sightseeing  n.游览，观光
spread   v.延伸；展开
switch   v./n.开关,转换,改变
taxi   n.出租汽车
unfair  a.不公平的，不公正的
vice  n.罪行，不道德行为
warning  n.警报
Australia   *n.澳洲；澳大利亚
Asian   a.亚洲（人）的n.亚洲人
accent  n.口音，音调
banana   n.香蕉
candy   n.糖果
dear   int.（表示惊愕）哎呀！唷！a.亲爱的；贵的
education   n.教育，培养
far   a.&ad.远的；远地
Germany   *n.德国
harbour  n.港口
improve  vt.改进，更新
juicy  a.多汁的；水分多的
know   v.知道，了解；认识；懂得
laughter  n.笑；笑声
maple  n.枫树
neighbourhood  n.四邻；邻近地区
oilfield   n.油田
paralleln.极其相似的人,纬线
rather  ad.相当，宁可
satisfy  vt.满足，使满意
sign  n.符号，标记
spring   n.春天,春季n.泉水,泉
sword   n.剑，刀
taxipayern.纳税人
unfit  a.不合宜的，不相宜的
victim  n.受害者，牺牲品
wash  n.洗冲洗,洗剂,泼溅,洗的衣服v.洗,冲洗,流过,弄湿
cookie   n.小甜饼
confirm   v.证实，证明，确认
accept  vt.接受
band   n.乐队
canteen   n.餐厅；食堂
death   n.死
effect   n.效果；作用
fare   n.（车或船的）费用，票（价）
gesture   n.姿势，手势
hard  ad.努力地；使劲；猛烈地a.硬的；困难的；艰难的
in  prep.在…里；在…；以…ad.在家，在内，向内
July  n.7月
knowledge  n.知识，学问
laundry  n.洗衣店;要洗的衣服
mapleleaves  枫叶
neither  a.（两者）都不;也不
OK  ad.（口语）好,对,不错
parcel  n.包裹
raw  a.生的,未煮过的,未加工的
Saturday  n.星期六
signal   n.信号，暗号
spy   n.密探,间谍v.侦探,刺探
symbol   n.象征
tea   n.茶；茶叶
unfold  vt.展开，打开
victory  n.胜利
washing-machine  n.洗衣机
Australian   a.澳洲的，澳大利亚人的n.澳大利亚人
promise  n.&vi.答应，允诺
access  n./v.通道，入径，存取（计算机文件）
bandage   n.绷带
cap   n.（无檐的或仅在前面有檐的）帽子；（瓶子的）盖；（钢笔等的）笔套
debate   n.&v.讨论，辩论
effort  n.努力，艰难的尝试
farm   n.农场；农庄
get   vt.成为；得到；具有；到达
hardly  ad.几乎不
inch  n.英寸
jump  n.跳跃；跳变v.跳跃；惊起；猛扑
lavatory  n.便所，厕所
marathon  n.马拉松
nephew  n.侄子，外甥
old   a.老的，旧的
pardon  n.原谅,宽恕,对不起
rawmaterial  原料
sauce  n.酱汁；调味汁
signature   n.签名
square   n.广场a.平方的；方形的，宽而结实的（体格，肩膀）
sympathy   n.同情
teach   v.教书,教
unfortunate  a.不幸的
video  n.录像，视频
washroom  n.盥洗室
cool   a.凉的，凉爽的；酷
aside   ad.在旁边
accessible  a.可到达的，可接受的，易相处的）
bang   int.砰
capital   n.首都.省会.大写；资本
debt   n.债务；欠款
egg   n.蛋；卵
farmer   n.农民
get-together   n.聚会
hardship  n.困难
incident  n.事件
June  n.6月
law  n.法律，法令；定律
marble  n.大理石；玻璃弹子
nervous  a.紧张不安的
Olympic  a.&n.奥林匹克
parent  n.父，双亲
ray  n.光辉，光线
saucer  n.茶碟，茶托，小圆盘
significance   n.重要性，意义
squeezen.挤压，捏，塞
symphony   n.交响乐
teacher   n.教师，教员
unfortunately  ad.不幸地
videophone  n.可视电话
waste  n.&vt.浪费
autumn   n.秋天，秋季
conflict   n.冲突，争执，争论
accident   n.事故，意外的事
bank   n.（河海湖的）岸，堤n.银行
capsule   n.（药）胶囊
decade   n.十年期
eggplant  n.茄子
fast  a.快的，迅速的；紧密的ad.快地，迅速地；紧密地
gift   n.赠品；礼物
hardworking  a.努力工作的
include  vt.包含，包括
jungle  n.丛林，密林
lawyer  n.律师
march  n.游行，行进
nest  n.巢；窝
OlympicGames   n.奥运会
Paris  n.巴黎
razor  n.剃须刀
sausage  n.香肠，腊肠
silence  n.安静，沉默
squid   n.鱿鱼
symptom   n.症状
team   n.队，组
unhappy  a.不高兴的,伤心的
view  n.看法,见解;风景,景色
watch  vt.观看，注视；当心，注意n.手表，表
copy   n.抄本，副本；一本（份，册……）v.抄写；复印；（计算机用语）拷（备份盘）
promote  v.促进,推动,促销,晋升
accommodation   n.住宿，膳宿
bankaccount   n.银行账户
captain   n.（海军）上校；船长，舰长；队长
December   n.12月
Egypt*   n.埃及
fasten  vt.扎牢；扣住
gifted   a.有天赋的；有才华的
harm  n.&v.伤害；损伤
income  n.收入，所得
junior  a.初级的；年少的
lay  vt.放，搁
March  n.3月
net  n.网
omelette  n.煎蛋卷；煎蛋饼
park  n.公园
reach  v.到达，伸手够到
savage  n.野蛮人，未开化的人
silent'saɪlənt] a.无声的，无对话的
squirrel   n.松鼠
system   n.体系；系统
teamwork  n.合作，协同工作
unhealthy  a.不健康的,不卫生的
viewer  n.观看者
water  n.水v.浇水
available   a.可获得的，有空的
ask   v.问；请求，要求；邀请
accompany   v.陪同，陪伴，与…同时发生
bar   n.条（长方）块，棒，横木n.（酒店的）买酒柜台；酒吧；（卖东西的）柜台
caption   n.（图片，漫画等的）说明文字
decide   v.决定；下决心
Egyptian   a.埃及的；埃及人的；埃及语的n.埃及人
fat  n.脂肪a.胖的；肥的
giraffe   n.长颈鹿
harmful  a.有害的；致伤的
incorrect  a.不正确的，错误的
junk  n.（口语）废品，破烂货
lazy  a.懒惰的
mark  n.标记vt.标明,作记号于
network  n.网络，网状系统
on   prep.在…上（时），关于ad.（穿，放…）上；接通；进行下去；（电灯）开
park  vt.停放（汽车）
react  v.回应，过敏，起物理，化学反应
save  vt.救，挽救，节省
silk  n.（蚕）丝，丝织品
stable   a.稳固的，牢固的
systematic   a.系统的,有条理的
teapot   n.茶壶
uniform  n.制服
village  n.村庄，乡村
watermelon  n.西瓜
coral   n.珊瑚；珊瑚虫
confuse   v.使迷惑，混淆
accomplish   v.完成
barbecue   n.烤肉野餐
car   n.汽车，小卧车
decision   n.决定；决心
eight   num.八
father   n.父亲
girl   n.女孩
harmless  a.无害的;不致伤的
increase  v.&n.增加，繁殖
junkmail  塞到邮箱的广告宣传品
lead  v.领导，带领n.铅
market  n.市场，集市
never  ad.决不，从来没有
once  n.&ad.一次,一度,从前conj.一旦
parking  n.停车
read  v.读；朗读
say  vt.说，讲
silly   a.傻的，愚蠢的
stadium   n.（露天）体育场
tear   n.眼泪v.扯破,撕开
unimportant  a.不重要的,无意义
villager  n.村民
wave  n.（热、光、声等的）波，波浪v.挥手，挥动，波动
avenue   n.大道
pronounce  vt.发音
accordingto   ad.按照，根据
barber   n.（为男人理发）理发师
carbon   n.碳
declare   vt.声明；断言
eighteen  num.十八
fault  n.缺点，毛病
give   vt.给,递给,付出,给予
harmony  n.融洽，和睦
indeed  a.确实；实在
junkfood  没有营养的垃圾食品
leader  n.领袖，领导人
marriage  n.结婚，婚姻
new  a.新的；新鲜的
one  pron.一（个，只…）num.一
parrot  n.鹦鹉
reading  n.阅读；朗读
saying  n.说，俗话，谚语
silver   n.银
staff   n.全体职工（雇员）
tease   v.取笑，戏弄，寻开心
union  n.联合,联盟；工会
vinegar  n.醋
wax  n.蜡
cordless   a.无线的
asleep   a.睡着的，熟睡
account   n.账目;描述
barbershop n.理发店
card   n.卡片；名片；纸牌
decline   v.减少,下降,衰退,谢绝
eighth  num.第八
favour  n.恩惠；好意；帮助
glad   a.高兴的；乐意的
harvest  n.&vt.收割，收获（物）
independence  n.独立
just  ad.刚才；恰好；不过；仅a.公正的
leading  a.最主要的，第一位的
married  a.已婚的
NewYork  n.纽约
oneself  pron.自己；自身
part  n.部分；成分；角色；部件；零件a.局部的；部分的v.分离；分开；分割
ready  a.准备好的
scan  v.略读，浏览，扫描
similar  a.相似的，像
stage   n.舞台；阶段
technical   a.技术的，工艺的
unique  a.惟一的,独一无二的
violate  v.违反（法律、协议等），侵犯
way  n.路，路线；方式，手段
average   a.平均；普通的n.平均数
congratulate   vt.祝贺
accountant   n.会计，会计师
bare   a.裸露的，光秃秃的
cardgames   纸牌游戏
decorate   vt.装饰…，修饰…
eighty  num.八十
favourite  a.喜爱的n.特别喜爱的人（或物）
glance   vi.匆匆一看；一瞥
hat  n.帽子；礼帽
independent  a.独立的,有主见的
justice  n.正义；公正；司法
leaf  n.（树，菜）叶
marry  v.（使）成婚，结婚
NewZealand  *n.新西兰
onion  n.洋葱；洋葱头
participate  v.参加，参与
real  a.真实的，确实的
scar  n.伤疤，伤痕
simple  a.简单的，简易的
stain   n.污点，污渍，染色剂
technique   n.技术;技巧,方法
unit  n.单元，单位
violence  n.暴力行为
wayside  a.路边的
corn   n.玉米，谷物
pronunciation  n.发音
accumulate  v.积累，积聚
bargain   n.（经讨价还价后）成交的商品；廉价货v.讨价还价
